Accession;TM domains;Signal peptide;TM string
A0A087X1C5;2;0;o6-23i302-325o
A0A0B4J2F0;0;Y;n5-16c21/22o
A0A0B4J2F2;0;0;i
A0A0C5B5G6;0;0;i
A0A0K2S4Q6;1;Y;n13-25c33/34o169-190i
A0A0U1RRE5;0;0;i
A0A1B0GTW7;1;Y;n2-11c17/18o736-756i
A0A5B9;1;0;o146-171i
A0AV02;13;0;o37-60i72-93o99-116i123-142o154-173i185-205o233-254i266-289o309-331i360-377o383-403i593-616o622-643i
A0AV96;0;0;i
A0AVF1;0;0;i
A0AVI4;2;Y;n6-21c28/29o52-72i93-114o
A0AVK6;0;0;i
A0AVT1;0;0;i
A0FGR8;2;0;o128-149i302-322o
A0FGR9;1;0;o51-72i
A0JLT2;0;0;i
A0JNW5;0;0;i
A0JP26;0;0;i
A0M8Q6;0;0;i
A0MZ66;0;0;i
A0PJK1;14;0;o16-37i75-93o99-124i136-163o169-190i197-215o261-279i300-321o363-388i409-428o440-464i471-492o512-534i572-595o
A0PJY2;0;0;i
A0PK00;6;0;i132-153o159-177i189-207o219-236i263-281o301-325i
A0PK11;4;0;i12-34o99-124i136-159o188-209i
A1A4S6;0;0;i
A1A4Y4;0;0;i
A1A519;0;0;i
A1A5B4;8;0;i187-213o267-285i331-354o374-393i420-443o545-571i595-619o695-724i
A1A5C7;11;0;o234-254i259-280o286-304i316-338o344-363i430-449o469-490i497-518o538-560i572-591o597-618i
A1E959;0;Y;n3-10c15/16o
A1KXE4;0;0;i
A1KZ92;0;Y;n5-15c20/21o
A1L0T0;0;Y;n17-30c35/36o
A1L167;0;0;i
A1L190;0;0;i
A1L390;0;0;i
A1L3X0;7;0;o28-48i69-87o118-136i143-162o174-194i206-227o233-258i
A1L4H1;0;Y;n3-14c19/20o
A1L4K1;0;0;i
A1X283;0;0;i
A1XBS5;0;0;i
A1Z1Q3;0;0;i
A2A288;0;0;i
A2A2Y4;1;0;o528-550i
A2IDD5;0;0;i
A2PYH4;0;0;i
A2RRP1;0;0;i
A2RTX5;0;0;i
A2RU14;3;0;o6-28i40-61o81-104i
A2RU30;0;0;i
A2RU49;0;0;i
A2RUB1;0;0;i
A2RUB6;0;0;i
A2RUC4;0;0;i
A2RUH7;0;0;i
A2VDJ0;2;0;i12-30o870-890i
A2VEC9;0;Y;n2-10c15/16o
A3KMH1;0;Y;n5-10c15/16o
A4D0S4;0;Y;n3-14c19/20o
A4D126;0;0;i
A4D161;0;0;i
A4D1B5;0;0;i
A4D1E9;0;0;i
A4D1P6;0;0;i
A4D1T9;0;Y;n4-15c23/24o
A4D256;1;0;i415-437o
A4D2B0;0;0;i
A4D2B8;0;0;i
A4GXA9;0;0;i
A4UGR9;0;0;i
A5A3E0;1;0;i304-325o
A5D8T8;0;Y;n13-21c26/27o
A5D8V6;0;0;i
A5D8V7;0;0;i
A5D8W1;0;0;i
A5LHX3;0;0;i
A5PKW4;0;0;i
A5PLL7;3;0;o47-68i75-98o165-182i
A5X5Y0;4;Y;n11-21c25/26o249-271i283-302o308-333i434-454o
A5YKK6;0;0;i
A5YM72;1;Y;n2-10c22/23o702-722i
A6BM72;1;Y;n3-14c19/20o849-871i
A6H8Y1;1;0;i310-329o
A6H8Z2;0;0;i
A6NC98;0;0;i
A6NCS4;0;0;i
A6ND01;0;Y;n3-14c19/20o
A6ND36;0;0;i
A6NDB9;0;0;i
A6NDE4;0;0;i
A6NDG6;0;0;i
A6NDV4;7;0;o226-246i258-277o283-310i322-338o344-363i379-400o406-425i
A6NED2;0;0;i
A6NEM1;0;0;i
A6NFA1;1;Y;n3-14c19/20o495-514i
A6NFQ2;0;0;i
A6NFX1;10;0;i113-134o146-170i182-202o228-251i283-306o318-336i348-365o371-393i413-435o455-478i
A6NFY7;0;0;i
A6NGG8;0;0;i
A6NGQ2;0;0;i
A6NGU5;0;Y;n5-24c29/30o
A6NHL2;0;0;i
A6NHR9;0;0;i
A6NHX0;0;0;i
A6NI15;0;0;i
A6NI61;5;Y;n8-19c25/26o35-58i65-86o115-134i154-171o177-195i
A6NI73;1;0;o266-284i
A6NIH7;0;Y;n8-15c23/24o
A6NIX2;0;Y;n11-20c25/26o
A6NJ46;0;0;i
A6NJ78;0;0;i
A6NK06;0;0;i
A6NK58;0;0;i
A6NK89;0;0;i
A6NKB5;15;0;i36-53o59-77i843-862o868-885i952-972o992-1018i1030-1049o1094-1112i1124-1144o1193-1211i1223-1246o1266-1284i1291-1314o1320-1348i1532-1551o
A6NMY6;0;0;i
A6NMZ7;0;Y;n3-13c18/19o
A6NNB3;2;0;o37-59i85-112o
A6NNM8;0;0;i
A6NNN8;11;0;i21-43o63-82i103-124o144-166i178-198o218-239i251-274o294-317i344-365o371-397i409-432o
A6NNY8;0;0;i
A6NNZ2;0;0;i
A6PVC2;0;0;i
A7E2V4;0;0;i
A7E2Y1;0;0;i
A7KAX9;0;0;i
A7MCY6;0;0;i
A7MD48;0;0;i
A7XYQ1;0;0;i
A8CG34;1;0;i44-69o
A8K0Z3;0;0;i
A8K2U0;0;Y;n2-12c17/18o
A8K4G0;1;Y;n2-12c17/18o151-172i
A8K7I4;0;Y;n8-16c21/22o
A8K830;0;0;i
A8K8P3;1;0;o845-865i
A8K8V0;0;0;i
A8MPY1;4;Y;n2-17c24/25o267-290i302-321o333-355i449-466o
A8MQ03;0;0;i
A8MQ27;0;0;i
A8MT69;0;0;i
A8MTA8;0;0;i
A8MTJ3;0;0;i
A8MTJ6;0;0;i
